BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,NumberOfPixels,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
84,152,115,192,827,827,0,0,39.3947,118.111,1.73151,110.744,0.920529,16.2247,101.943,24.6601,42.6993,1.73151,99.9686,69.2987,142.415,28.2435,22.4178,21.101,[109:155:96:154:88:163:85:173:88:192:97:190:101:182:114:170:115:161]
361,179,387,210,526,526,0,0,23.7344,76.5473,1.79587,86.9751,0.934766,12.9395,81.3014,19.3112,34.6805,1.79587,126.021,86.5989,160.036,19.0525,18.1529,19.128,[384:181:371:183:363:192:362:205:366:209:373:209:387:190]
149,183,173,212,562,562,0,0,38.8001,52.733,1.1658,86.0549,0.976556,13.375,84.0375,24.7748,28.8826,1.1658,70.4181,47.7598,117.904,30.68,27.0948,29.6418,[155:186:151:191:150:207:169:212:173:202:172:191:163:184]
422,190,466,225,1152,1152,0,0,59.6981,143.503,1.55042,127.579,0.943088,19.1492,120.318,30.7579,47.6877,1.55042,93.691,61.7682,140.033,23.816,18.4339,19.9707,[425:195:423:204:430:217:456:225:465:221:466:205:458:196:441:191]
288,191,330,221,724,724,0,0,30.2069,125.6,2.03911,116.892,0.815996,15.1808,95.3837,21.262,43.3556,2.03911,96.4986,62.0249,138.209,34.2902,26.261,25.6262,[289:195:290:201:304:219:309:221:318:218:329:221:330:216:320:209:311:194:292:192]
227,202,262,222,491,491,0,0,20.3548,78.1302,1.95919,87.6257,0.896425,12.5016,78.5499,17.8631,34.9973,1.95919,98.2016,73.334,144.073,32.6595,28.4282,25.6169,[228:220:246:221:259:215:262:209:252:204:241:203:230:211]
249,217,295,264,963,963,0,0,37.6019,229.891,2.47261,148.476,0.740905,17.5081,110.006,22.2685,55.0612,2.47261,105.677,68.7165,140.853,35.0799,26.4203,27.6122,[292:224:277:218:271:240:262:246:251:245:250:253:257:263:268:264:283:247:285:237:295:231]
198,223,233,257,779,779,0,0,35.4028,115.319,1.80481,112.18,0.881979,15.7469,98.9404,23.4428,42.3096,1.80481,122.205,83.8678,156.334,28.3008,20.6333,18.7563,[199:226:199:234:205:247:226:257:232:255:231:235:206:224]
25,227,62,264,1090,1090,0,0,75.1097,101.563,1.16284,119.764,0.977215,18.6268,117.036,34.5469,40.1724,1.16284,82.5138,47.2156,126.355,30.6721,19.6603,22.5113,[30:232:26:239:29:258:39:264:57:263:62:252:57:235:42:228]
143,238,182,280,1140,1140,0,0,75.7001,113.519,1.22458,124.707,0.959769,19.0492,119.69,34.4282,42.16,1.22458,114.818,76.5825,152.98,27.6586,19.1123,18.5694,[163:239:145:253:144:262:151:273:174:280:182:274:180:255:167:240]
109,253,136,286,670,670,0,0,35.5537,80.4016,1.5038,95.9956,0.955853,14.6037,91.7577,23.8176,35.8168,1.5038,81.0403,49.0269,127.745,28.9585,20.5602,23.4278,[115:254:110:258:110:269:115:280:123:285:132:285:136:280:134:266:126:255]
376,253,441,294,1480,1480,0,0,53.0053,360.168,2.60671,185.327,0.735864,21.7048,136.375,26.8868,70.0862,2.60671,114.616,78.2939,150.001,34.6005,26.8781,25.3845,[441:264:435:256:424:255:411:270:404:266:395:266:380:276:377:291:382:294:390:288:404:288:410:280:416:285:430:288:439:280]
461,254,488,276,405,405,0,0,18.5242,57.354,1.75959,77.3597,0.922184,11.3541,71.3399,17.1189,30.1223,1.75959,60.4247,41.7136,108.353,30.0222,24.8561,29.617,[462:257:462:262:472:275:488:274:479:258:471:255]
301,255,330,286,556,556,0,0,27.591,80.7819,1.71109,94.8849,0.880938,13.3034,83.5877,20.3402,34.804,1.71109,73.3597,49.4586,120.664,33.3301,28.3291,30.4937,[308:256:302:263:304:275:317:286:324:286:330:274:318:268:315:256]
67,266,88,301,480,480,0,0,20.1082,81.6239,2.01475,89.1965,0.870718,12.3608,77.665,17.4167,35.0903,2.01475,128.521,89.1646,161.067,24.9878,20.4447,17.4639,[73:267:68:277:71:297:77:301:88:294:88:289:78:269]
327,280,359,308,676,676,0,0,48.1537,61.5384,1.13047,94.0042,0.980463,14.6689,92.1676,27.593,31.193,1.13047,95.5133,60.8033,137.328,30.2,22.077,22.8409,[338:281:329:292:328:298:341:308:352:308:359:299:356:286:350:281]
240,294,292,324,959,959,0,0,33.8353,181.641,2.31698,128.824,0.85215,17.4717,109.778,22.9564,53.1894,2.31698,110.471,70.2638,147.25,31.0587,25.4594,25.5463,[241:300:246:308:269:322:284:324:291:316:290:306:279:305:267:296:249:296]
157,295,193,318,594,594,0,0,27.1628,84.2123,1.76076,92.4334,0.934693,13.7505,86.3969,20.7252,36.4921,1.76076,108.599,78,150.82,32.9702,26.8335,27.778,[158:301:164:313:170:317:186:318:193:312:192:307:181:298:162:296]
105,307,144,331,592,592,0,0,24.5052,96.7971,1.98748,97.7964,0.881948,13.7273,86.2513,19.4744,38.705,1.98748,142.534,97.5304,168.542,17.7593,15.4181,14.1625,[144:315:140:310:132:308:109:315:106:320:112:328:123:331:142:320]
0,313,35,369,1250,1250,27,0,48.245,223.411,2.15192,148.341,0.844887,19.9471,125.331,27.1955,58.5226,2.15192,97.3232,62.3968,138.153,34.1399,25.622,25.3969,[30:314:19:318:16:327:1:343:1:369:13:367:30:356:29:339:35:326]
302,315,363,357,1709,1709,0,0,93.6594,211.625,1.50317,159.757,0.917309,23.3236,146.547,38.0471,57.1913,1.50317,102.105,60.3248,137.183,32.2531,23.365,22.0183,[303:338:305:345:311:350:332:357:357:345:363:336:357:330:343:327:334:318:324:316:309:321]
132,318,177,367,1258,1258,0,0,57.2819,223.753,1.9764,152.823,0.822727,20.0108,125.732,28.468,56.2643,1.9764,102.84,65.9253,141.137,36.8383,27.9594,29.2716,[174:324:152:319:143:329:145:344:133:356:137:366:151:367:157:362:157:351:165:345:170:345:177:336:177:327]
412,324,443,349,611,611,0,0,37.8829,63.6334,1.29605,89.5218,0.978806,13.9459,87.6245,24.4999,31.7531,1.29605,95.5925,61.4828,135.09,32.1756,24.191,26.4942,[414:331:413:339:423:347:433:349:443:342:443:330:440:326:424:325]
84,333,113,358,382,382,0,0,24.8091,69.2714,1.67098,96.2256,0.720022,11.027,69.2846,17.0609,28.5084,1.67098,144.838,93.6309,167.594,20.7098,14.4962,11.9502,[86:340:85:346:94:357:106:358:113:352:112:347:101:349:94:344:99:337:97:334]
224,339,274,369,1071,1071,0,0,43.2888,173.802,2.00373,128.92,0.899871,18.4637,116.011,26.0873,52.2721,2.00373,109.778,75.1718,150.015,28.5205,21.9316,21.2224,[274:351:267:340:239:346:227:353:225:364:240:369:264:366:271:360]
21,363,76,419,2097,2097,0,0,135.385,214.514,1.25876,171.039,0.949096,25.8359,162.332,46.0557,57.973,1.25876,102.658,67.7029,144.231,30.4326,23.5891,22.7967,[29:373:22:381:25:396:34:401:45:414:56:419:66:418:76:404:75:384:71:377:53:364]
336,373,372,399,574,574,0,0,21.6873,100.737,2.15522,97.011,0.875467,13.517,84.93,18.4147,39.6878,2.15522,114.136,74.3328,149.732,26.7441,19.6791,19.1716,[372:376:367:374:341:384:337:388:337:396:351:399:360:395:370:383]
418,373,500,416,1992,1992,18,0,88.0813,506.002,2.39681,246.233,0.642545,25.1808,158.216,32.5299,77.9681,2.39681,111.484,68.8539,145.879,37.8112,25.0661,25.4578,[419:408:447:416:451:413:452:395:455:392:461:395:468:406:494:406:500:402:500:385:495:379:483:376:460:389:452:377:440:374:436:377:434:394:421:402]
223,408,255,427,412,412,0,0,19.5684,58.7971,1.73341,79.4859,0.905239,11.4518,71.9538,17.3962,30.1546,1.73341,98.2451,63.5146,138.893,28.403,23.0414,21.4845,[224:415:226:420:240:427:255:417:252:411:232:409]
289,409,309,430,331,331,0,0,24.6377,28.5584,1.07663,64.9676,0.99271,10.2645,64.4939,19.785,21.3011,1.07663,129.903,87.9003,160.813,17.695,16.6234,17.2867,[298:410:291:415:290:422:296:430:305:429:309:426:307:413]
357,415,393,477,1113,1113,0,0,33.1364,282.243,2.9185,153.609,0.769904,18.8223,118.264,22.0355,64.3105,2.9185,116.063,80.9236,153.583,32.0453,28.6824,25.5537,[389:416:377:421:372:431:358:446:360:468:369:477:373:474:375:455:384:446:393:419]
241,420,291,476,2048,2048,0,0,144.904,189.23,1.14276,165.446,0.96965,25.5323,160.424,47.7686,54.588,1.14276,102.353,67.4785,143.623,28.7665,20.9818,21.3223,[276:421:257:424:242:438:244:454:265:476:275:474:285:465:291:446:291:437:286:425]
448,423,500,489,2208,2208,20,0,143.385,321.625,1.49769,236.943,0.703009,26.5109,166.573,43.3254,64.8883,1.49769,103.116,68.6857,144.659,32.1226,24.3616,23.9161,[500:424:490:425:478:434:474:445:475:458:472:462:468:460:465:446:459:440:452:443:449:467:452:482:457:489:470:483:492:483:496:479:494:458:500:443]
0,425,31,451,507,507,2,0,35.0857,49.3569,1.18607,84.7536,0.941782,12.7037,79.8195,23.3295,27.6703,1.18607,127.464,85.2387,159.677,27.6297,19.7856,18.8723,[20:426:13:426:1:435:14:451:31:441:27:431]
300,428,349,476,1567,1567,0,0,108.882,182.682,1.2953,173.03,0.810995,22.3336,140.326,39.2469,50.8363,1.2953,105.376,68.1091,143.739,33.227,24.1322,22.1364,[347:429:327:430:315:443:306:446:301:459:304:469:309:473:315:473:320:469:331:476:341:473:344:470:344:456:336:443:348:437]
403,432,434,471,856,856,0,0,56.3757,88.401,1.25223,110.974,0.934589,16.5068,103.715,29.5019,36.9431,1.25223,92.2465,58.104,134.541,36.0242,26.268,28.9161,[425:434:414:433:404:444:404:450:411:460:409:468:412:471:427:464:434:455:434:443]
94,433,128,452,365,365,0,0,15.061,90.0449,2.44513,89.7519,0.754584,10.7788,67.7254,13.7864,33.7095,2.44513,139.427,86.6712,157.707,17.6313,14.3802,15.0092,[95:442:96:446:110:442:120:452:124:452:128:445:125:437:108:434:100:436]
204,442,237,473,667,667,0,0,29.1253,99.5331,1.84863,99.6926,0.918343,14.571,91.552,21.4335,39.6226,1.84863,81.8756,54.2594,130.358,25.5734,21.5024,21.2226,[236:447:230:443:220:444:205:466:205:471:216:473:226:469:237:456]
163,453,185,482,436,436,0,0,21.7067,57.4067,1.62624,79.4859,0.931232,11.7806,74.0198,18.4759,30.0463,1.62624,76.0642,55.3303,126.606,28.3265,28.8655,29.0588,[180:454:164:467:167:482:174:482:182:476:185:464]
97,456,115,482,377,377,0,0,19.8516,45.5575,1.5149,70.6559,0.974152,10.9546,68.8297,17.8006,26.966,1.5149,44.7905,28.557,93.6817,27.7087,19.8731,30.4174,[102:457:98:464:98:475:103:482:109:482:113:479:115:467:108:457]
127,456,152,483,517,517,0,0,36.5496,47.114,1.13536,81.382,0.990425,12.8283,80.6028,24.0787,27.338,1.13536,123.691,80.6789,156.522,16.6947,13.3408,14.499,[137:457:132:462:128:477:135:483:143:483:152:475:152:466:147:460]
59,483,111,500,558,558,52,0,16.2988,191.136,3.42447,125.318,0.668203,13.3273,83.7379,14.4037,49.3252,3.42447,90.9857,59.4946,134.783,27.2337,22.4105,23.8207,[60:499:111:500:111:493:102:491:90:496:86:486:80:484:65:491]
