BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,NumberOfPixels,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
217,414,248,449,593,593,0,0,34.6981,75.0984,1.47117,104.73,0.824252,13.7389,86.3241,22.6543,33.3283,1.47117,81.6239,42.3862,104.029,30.2982,19.0232,23.0201,[222:415:218:420:220:434:230:440:237:449:248:426:239:425:230:415]
116,418,160,440,607,607,0,0,21.4776,123.514,2.39809,108.292,0.806494,13.9001,87.3372,17.9522,43.0509,2.39809,70.6787,42.6145,98.1186,38.1614,23.9539,31.9392,[117:428:118:432:127:438:140:435:144:440:152:440:160:436:160:433:140:419:134:423:121:423]
14,419,70,464,984,984,0,0,56.0413,183.253,1.8083,169.928,0.654392,17.6979,111.199,26.3219,47.5979,1.8083,76.4797,48.3242,105.426,40.6809,27.9677,34.5235,[15:423:30:425:36:430:36:451:49:464:69:451:70:441:52:430:35:428:24:420]
12,426,33,440,212,212,0,0,10.4038,28.203,1.64646,57.9385,0.890853,8.21472,51.6146,12.8041,21.0814,1.64646,62.6368,35.9623,91.283,30.4201,20.0722,27.8897,[13:436:17:439:26:440:33:436:28:428:15:428]
32,429,33,430,1,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,89,37,93,0,0,0,[33:430]
334,429,377,480,1295,1295,0,0,57.0657,207.369,1.90627,152.268,0.837782,20.303,127.567,29.4102,56.0638,1.90627,70.4324,38.383,98.2494,30.1535,19.2879,23.9066,[337:433:335:441:342:451:341:462:344:468:358:480:367:479:377:468:377:461:369:454:369:448:365:444:354:443:355:433:352:430]
247,431,248,432,1,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,118,47,112,0,0,0,[248:432]
237,433,261,457,296,296,0,0,24.5628,30.6312,1.11672,79.7159,0.765078,9.70668,60.9889,18.3709,20.515,1.11672,110.213,55.9561,121.297,23.3317,14.8281,17.6139,[248:434:238:452:243:456:252:457:261:453:259:444:252:444]
487,434,500,470,312,312,27,0,9.55603,69.3136,2.69321,79.0258,0.792343,9.96557,62.6156,12.145,32.709,2.69321,98.3974,55.3173,117.769,24.8684,16.3014,16.5477,[500:435:488:452:489:464:493:470:500:461]
157,436,199,463,734,734,0,0,36.8077,103.392,1.676,108.062,0.888747,15.2853,96.0402,23.6138,39.5768,1.676,82.1785,45.3147,104.977,39.0335,22.9969,28.166,[199:452:179:437:169:446:160:448:158:456:162:460:186:463:194:461]
401,440,451,482,488,488,0,0,7.68238,289.436,6.13802,135.798,0.576663,12.4634,78.3096,10.0612,61.756,6.13802,54.8176,26.877,80.7316,28.0174,15.8611,23.7617,[451:442:443:444:414:473:402:478:407:482:419:479:444:455]
79,441,118,479,683,683,0,0,26.756,148.675,2.35726,122.025,0.759216,14.7447,92.6436,19.2071,45.2761,2.35726,71.6794,44.6325,98.9854,42.6227,31.8403,39.0345,[82:446:80:454:88:464:99:469:99:476:102:479:114:473:118:474:111:465:101:459:102:449:98:443:88:442]
393,442,419,470,537,537,0,0,34.3799,55.0169,1.26502,84.6189,0.970789,13.0741,82.1471,23.2485,29.4097,1.26502,46.6629,26.3371,79.7039,23.4908,16.0725,24.3843,[400:443:394:449:396:464:402:470:413:469:419:462:419:456:409:445]
413,442,422,447,33,33,0,0,1.37371,5.48396,1.99802,23.4435,0.868638,3.24102,20.3639,4.58577,9.16245,1.99802,76.4242,31.2121,89.5455,23.7309,15.6549,21.452,[422:444:414:446:422:447]
239,446,240,447,1,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,144,68,139,0,0,0,[240:447]
448,448,464,472,295,295,0,0,15.4198,36.8079,1.54501,64.1822,0.94864,9.69027,60.8858,15.592,24.0897,1.54501,75.6102,41.7186,101.678,32.8678,20.944,26.313,[461:449:454:449:449:456:452:472:463:465:464:453]
302,449,325,478,441,441,0,0,30.0832,46.1406,1.23845,84.3889,0.882143,11.848,74.4431,21.2929,26.3702,1.23845,63.3424,35.2834,94.0204,27.4894,17.6947,21.7213,[308:450:303:457:304:472:314:478:313:472:325:462:325:457:320:452]
54,456,82,483,362,362,0,0,13.7913,70.8353,2.26633,88.0858,0.765691,10.7344,67.4465,14.2609,32.32,2.26633,61.105,36.0331,90.3646,38.812,23.3185,31.4604,[56:462:55:465:65:467:63:474:75:483:82:481:81:472:65:457]
183,459,242,496,815,815,0,0,29.0403,312.259,3.27912,156.386,0.647123,16.1066,101.201,17.7892,58.3327,3.27912,92.6528,48.2515,109.909,26.6026,17.5575,20.8624,[242:466:235:460:219:460:205:464:192:472:184:493:195:496:198:487:207:476:226:468:240:470]
27,460,62,486,281,281,0,0,7.96838,104.917,3.62858,94.0042,0.632136,9.45754,59.4235,9.92978,36.031,3.62858,108.633,54.3274,113.69,22.115,17.1441,23.1634,[28:461:46:485:62:486:59:480:42:473:34:463]
122,466,133,475,49,49,0,0,1.36542,11.7158,2.92922,30.1473,0.823103,3.94933,24.8144,4.61506,13.5185,2.92922,138.653,81.7143,148.388,11.3291,8.60707,4.8857,[123:467:126:472:133:474:131:470]
496,467,498,468,2,2,0,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,133,67,133,8,7,15,[497:468]
163,471,181,491,280,280,0,0,19.7933,25.4072,1.13297,59.8346,0.991361,9.4407,59.3177,17.7388,20.0976,1.13297,43.95,30.4179,83.7714,24.1657,20.8354,28.5449,[170:472:164:476:164:486:169:491:175:491:181:478:178:474]
281,472,315,496,537,537,0,0,24.673,75.8297,1.75311,94.0995,0.872981,13.0741,82.1471,19.7487,34.6216,1.75311,79.9609,39.0298,99.1061,31.2545,14.8689,20.7189,[284:478:282:484:289:492:297:492:300:496:301:493:312:493:315:490:314:481:301:473]
417,476,463,493,266,266,0,0,6.17076,177.544,5.36393,105.936,0.545759,9.20165,57.8157,7.94611,42.6224,5.36393,117.523,62.9586,120.034,23.7633,20.0729,25.6945,[463:479:460:477:444:482:429:479:418:492:422:493:433:486:459:483]
380,480,403,500,267,267,8,0,9.63399,47.9548,2.23107,67.0937,0.863333,9.21893,57.9243,12.344,27.5402,2.23107,71.5243,43.0524,101.367,39.7595,23.6608,31.5775,[402:481:387:486:381:500:394:497:403:484]
109,482,132,500,341,341,19,0,21.6434,35.2325,1.27588,67.7444,0.966293,10.4184,65.4609,18.4471,23.5362,1.27588,54.1466,30.956,88.8358,20.23,16.0482,22.4902,[110:489:113:500:132:498:129:486:124:483:114:485]
136,482,162,500,383,383,24,0,25.312,40.437,1.26394,75.0988,0.923786,11.0414,69.3752,19.6422,24.8266,1.26394,85.9791,49.3838,110.159,34.0879,20.6761,24.8735,[140:485:137:500:160:500:162:497:156:483]
337,482,375,500,341,341,38,0,19.0297,68.1184,1.89198,95.0755,0.688516,10.4184,65.4609,15.1487,28.6609,1.89198,52.0469,28.0704,82.8856,31.773,16.7628,24.5573,[338:494:338:500:375:500:358:496:353:486:348:483:342:485]
249,483,291,500,471,471,42,0,18.3114,97.2981,2.30511,98.5424,0.780715,12.2443,76.9335,16.1295,37.1801,2.30511,68.3864,39.1295,96.4862,30.8362,18.5992,23.1709,[250:493:250:500:291:500:265:484:257:484]
473,483,500,492,118,118,4,0,2.58238,53.5984,4.55581,60.4852,0.636644,6.12867,38.5076,5.74266,26.1625,4.55581,112.034,66.2542,120.034,18.7028,18.8586,21.8232,[500:484:492:488:474:490:493:492]
453,488,472,495,72,72,0,0,1.26805,27.9167,4.69207,43.7455,0.687603,4.78731,30.0795,4.42017,20.7397,4.69207,135.319,91.9722,144.75,18.4239,19.2866,17.4855,[472:491:471:489:457:492:454:495:468:494]
425,493,451,500,94,94,10,0,1.46251,45.3253,5.56699,57.4784,0.597949,5.47002,34.3692,4.6367,25.8125,5.56699,108.053,75.2872,129.979,23.4532,24.6139,26.4414,[451:494:437:495:426:500:440:500]
68,495,79,500,41,41,11,0,1.63824,7.26837,2.10635,25.895,0.876558,3.61258,22.6985,4.97831,10.4861,2.10635,116.659,69.5854,137.561,10.683,8.53679,9.61718,[69:498:79:500:74:496]
96,495,108,500,48,48,12,0,1.81617,8.73765,2.1934,28.3465,0.866415,3.90882,24.5598,5.27857,11.578,2.1934,52.5417,31.4583,77.0833,19.7568,15.785,21.96,[97:499:108:500:104:496]
177,498,191,500,25,25,14,0,0.236514,14.0643,7.71135,28.6718,0.618187,2.82095,17.7245,2.0317,15.6672,7.71135,68.68,43.36,103.36,22.1824,17.2206,19.2143,[178:499:191:500]
