BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,NumberOfPixels,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
402,78,432,92,190,190,0,0,7.79608,64.8233,2.88355,75.4636,0.647506,7.77682,48.8632,9.15942,26.4117,2.88355,111.1,55.3474,114.884,30.2029,28.2605,32.21,[403:92:408:92:412:88:429:91:432:88:429:85:418:86:410:79]
139,99,165,120,275,275,0,0,8.50398,61.6181,2.6918,71.9014,0.817587,9.35603,58.7856,11.4051,30.7003,2.6918,107,66.9927,117.255,35.1912,36.7921,41.3629,[165:102:156:101:142:110:142:119:157:114:165:106]
199,100,206,110,32,32,0,0,0.744807,8.88312,3.45351,25.5697,0.78425,3.19154,20.053,3.43478,11.8621,3.45351,91.75,46.125,109.219,16.4526,11.5806,10.4784,[206:101:203:102:201:110]
246,108,297,157,1363,1363,0,0,94.0684,179.431,1.38111,183.661,0.712585,20.8292,130.874,35.4478,48.9572,1.38111,78.4453,37.7931,96.5473,35.9037,17.3686,24.9993,[281:109:269:118:262:119:264:124:247:136:249:155:257:153:271:143:278:146:282:157:287:155:297:136:297:130:282:121]
320,116,376,159,1292,1292,0,0,68.6976,211.307,1.75382,162.018,0.786453,20.2795,127.42,30.6262,53.713,1.75382,84.695,42.0573,99.2724,34.9743,22.0367,26.0859,[321:134:333:147:338:148:348:139:366:159:376:150:375:137:353:117:341:118]
87,122,118,152,620,620,0,0,43.2784,67.3966,1.24791,115.322,0.765403,14.0482,88.2675,25.1512,31.3865,1.24791,80.4048,36.8919,93.1597,36.9784,18.652,27.0437,[113:123:94:125:90:131:88:145:95:148:104:141:106:144:101:151:108:150:118:135:118:129]
464,133,493,152,442,442,0,0,22.9905,53.9918,1.53246,77.1297,0.966261,11.8614,74.5274,19.1633,29.3671,1.53246,68.6833,38.3756,91.3959,31.8959,20.8503,28.0479,[465:141:466:147:472:152:482:152:490:148:493:138:487:134:475:134]
138,135,148,149,61,61,0,0,4.33872,12.8475,1.72079,40.1833,0.689008,4.40646,27.6866,6.71824,11.5607,1.72079,98.6557,57.6557,113.607,28.6029,30.8773,41.0127,[145:136:139:149:148:146:144:141]
154,136,178,167,566,566,0,0,32.7274,64.5652,1.40457,89.7519,0.939657,13.4225,84.336,22.6512,31.8152,1.40457,88.4841,45.3163,108.825,22.5916,13.0687,14.6203,[173:137:166:137:156:150:155:159:163:167:173:166:178:158:178:140]
403,145,424,152,100,100,0,0,2.37659,29.8584,3.54451,46.9824,0.754519,5.6419,35.4491,5.99345,21.2439,3.54451,98.79,65.88,124.32,27.7742,29.3061,30.315,[404:148:416:152:424:149:420:146]
80,146,97,183,346,346,0,0,14.7678,94.9503,2.53565,99.6926,0.661424,10.4945,65.9391,13.181,33.4224,2.53565,95.5838,50.4566,109.324,26.8496,21.3643,25.462,[86:147:82:154:84:171:81:180:89:183:95:178:97:171:85:156:88:151:93:150]
100,153,102,156,6,6,0,0,0.25,0.666667,1.63299,8.36987,1.03744,1.38198,8.68322,2.16291,3.53202,1.63299,93.6667,56,131,12.3378,9.98332,15.6631,[101:154:102:156]
430,156,453,171,293,293,0,0,15.3812,35.9118,1.528,62.6114,0.969137,9.65737,60.679,15.6252,23.8754,1.528,42.9352,23.3481,66.7884,25.0737,19.5548,34.326,[431:160:433:167:439:171:447:171:453:167:453:161:448:157:433:157]
321,160,344,188,467,467,0,0,37.6068,38.8372,1.01623,82.8181,0.924993,12.1922,76.6061,24.189,24.5815,1.01623,78.2013,44.6445,107.559,24.1551,15.6306,17.9186,[340:161:330:162:322:169:323:180:333:183:336:188:344:181:344:166]
485,162,500,190,329,329,26,0,15.9008,47.6051,1.73028,72.092,0.891899,10.2335,64.2988,15.5594,26.9223,1.73028,48.0729,17.8632,44.0547,20.9921,8.84326,19.498,[495:163:488:167:486:183:500:190:500:165]
185,170,204,189,286,286,0,0,17.888,29.0275,1.27387,61.5007,0.974783,9.54131,59.9498,16.9074,21.5377,1.27387,46.8636,27.0909,75.8811,24.9823,19.7002,27.2832,[189:171:186:176:189:186:201:189:204:186:202:175:197:171]
298,178,316,195,220,220,0,0,14.3565,21.8141,1.23266,54.1462,0.971064,8.36828,52.5795,15.0745,18.5818,1.23266,101.645,50.5318,114.541,16.0435,13.2536,16.0265,[303:180:299:186:300:192:305:195:314:194:314:185]
153,181,178,205,382,382,0,0,16.2535,58.8803,1.90332,76.8044,0.902092,11.027,69.2846,15.9857,30.4258,1.90332,47.4974,25.9607,77.9372,24.2639,14.0817,24.8978,[157:182:154:186:155:194:160:199:176:205:176:191]
343,183,344,184,1,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,110,45,114,0,0,0,[344:184]
